symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl,pnl_pct
ETH/USDT,short,"(-1, np.float64(752.5170100839953), np.float64(3179.46398))",2024-11-25 18:00:00+00:00,3179.46,3448.86,-64.51,-0.0847
SOL/USDT,long,"(1, np.float64(828.5535123148106), np.float64(243.59871))",2024-11-25 18:00:00+00:00,243.6,239.89,-13.44,-0.0152
BTC/USDT,short,"(-1, np.float64(737.084185422019), np.float64(95129.9702))",2024-11-28 18:00:00+00:00,95129.97,95317.07,-2.19,-0.002
ETH/USDT,long,"(1, np.float64(663.28731382864), np.float64(3448.859634))",2024-12-19 18:00:00+00:00,3448.86,3519.34,12.89,0.0204
SOL/USDT,short,"(-1, np.float64(830.8093717248905), np.float64(236.632664))",2024-12-28 18:00:00+00:00,236.63,193.76,149.7,0.1812
BTC/USDT,long,"(1, np.float64(761.2298545396947), np.float64(98945.7852))",2024-12-31 18:00:00+00:00,98945.79,93867.73,-39.83,-0.0513
ETH/USDT,short,"(-1, np.float64(748.4782402237379), np.float64(3390.561752))",2025-01-09 18:00:00+00:00,3390.56,3260.99,27.85,0.0382
SOL/USDT,long,"(1, np.float64(832.4809903842832), np.float64(194.70893399999997))",2025-01-09 18:00:00+00:00,194.71,188.39,-27.84,-0.0324
SOL/USDT,short,"(-1, np.float64(748.4939581325534), np.float64(188.392314))",2025-01-12 18:00:00+00:00,188.39,189.63,-5.66,-0.0066
BTC/USDT,long,"(1, np.float64(748.6946854767064), np.float64(93044.575194))",2025-01-18 18:00:00+00:00,93044.58,104067.04,87.94,0.1185
SOL/USDT,long,"(1, np.float64(839.2780680834184), np.float64(254.59090799999998))",2025-01-27 18:00:00+00:00,254.59,224.81,-99.03,-0.117
BTC/USDT,long,"(1, np.float64(750.3123696178794), np.float64(99218.26968599999))",2025-01-30 18:00:00+00:00,99218.27,105558.89,47.2,0.0639
ETH/USDT,short,"(-1, np.float64(757.8269272118456), np.float64(3284.5129660000002))",2025-02-02 18:00:00+00:00,3284.51,2929.13,81.24,0.1082
SOL/USDT,long,"(1, np.float64(833.8032754596229), np.float64(241.128216))",2025-02-02 18:00:00+00:00,241.13,197.62,-151.28,-0.1804
SOL/USDT,short,"(-1, np.float64(744.4833135643844), np.float64(197.620468))",2025-02-05 18:00:00+00:00,197.62,197.79,-1.38,-0.0009
ETH/USDT,short,"(-1, np.float64(752.9094152891344), np.float64(2722.625366))",2025-02-11 18:00:00+00:00,2722.63,2611.52,29.97,0.0408
BTC/USDT,long,"(1, np.float64(743.1989981423967), np.float64(97103.11674))",2025-02-23 18:00:00+00:00,97103.12,95707.95,-11.42,-0.0144
ETH/USDT,long,"(1, np.float64(832.7906791220025), np.float64(2809.001688))",2025-02-26 18:00:00+00:00,2809.0,2289.77,-154.77,-0.1848
SOL/USDT,short,"(-1, np.float64(829.2465625498504), np.float64(196.620668))",2025-03-04 18:00:00+00:00,196.62,142.69,226.63,0.2743
ETH/USDT,short,"(-1, np.float64(755.180221952864), np.float64(2147.8503440000004))",2025-03-07 18:00:00+00:00,2147.85,2195.45,-17.49,-0.0222
SOL/USDT,short,"(-1, np.float64(837.8223636439067), np.float64(149.57008))",2025-03-13 18:00:00+00:00,149.57,122.97,148.14,0.1778
BTC/USDT,long,"(1, np.float64(749.4336175496192), np.float64(84157.02803999999))",2025-03-19 18:00:00+00:00,84157.03,85601.71,12.12,0.0172
ETH/USDT,short,"(-1, np.float64(761.9182918241598), np.float64(1851.8295600000001))",2025-03-22 18:00:00+00:00,1851.83,1995.65,-59.94,-0.0777
SOL/USDT,long,"(1, np.float64(840.4855761772769), np.float64(132.996594))",2025-03-22 18:00:00+00:00,133.0,129.73,-21.46,-0.0245
BTC/USDT,long,"(1, np.float64(756.3832903149171), np.float64(84257.44812))",2025-03-25 18:00:00+00:00,84257.45,87789.54,30.95,0.0419
SOL/USDT,short,"(-1, np.float64(756.7534171204143), np.float64(129.734048))",2025-03-25 18:00:00+00:00,129.73,145.13,-90.56,-0.1187
SOL/USDT,long,"(1, np.float64(751.1621967278498), np.float64(145.12902))",2025-03-28 18:00:00+00:00,145.13,129.57,-81.26,-0.1072
ETH/USDT,short,"(-1, np.float64(834.7359648702734), np.float64(2062.0375099999997))",2025-04-03 18:00:00+00:00,2062.04,1788.94,109.72,0.1324
SOL/USDT,short,"(-1, np.float64(836.2429477536422), np.float64(115.086978))",2025-04-09 18:00:00+00:00,115.09,117.68,-19.7,-0.0226
BTC/USDT,long,"(1, np.float64(750.9285514447323), np.float64(83897.67618))",2025-04-12 18:00:00+00:00,83897.68,85160.86,10.56,0.0151
ETH/USDT,short,"(-1, np.float64(750.3696985596248), np.float64(1627.5644220000001))",2025-05-03 18:00:00+00:00,1627.56,1826.02,-92.24,-0.1219
SOL/USDT,long,"(1, np.float64(835.7593172948754), np.float64(130.98619200000002))",2025-05-03 18:00:00+00:00,130.99,146.69,99.37,0.1199
BTC/USDT,long,"(1, np.float64(754.0673895961781), np.float64(96161.7285))",2025-05-09 18:00:00+00:00,96161.73,103161.36,54.13,0.0728
SOL/USDT,short,"(-1, np.float64(753.515264556448), np.float64(146.690656))",2025-05-09 18:00:00+00:00,146.69,171.8,-129.76,-0.1712
BTC/USDT,short,"(-1, np.float64(754.1994876924765), np.float64(103161.3636))",2025-05-21 18:00:00+00:00,103161.36,106978.69,-28.66,-0.037
SOL/USDT,short,"(-1, np.float64(830.6632917630607), np.float64(167.876418))",2025-05-24 18:00:00+00:00,167.88,176.82,-45.06,-0.0532
BTC/USDT,short,"(-1, np.float64(745.5173767089512), np.float64(108802.43516))",2025-05-30 18:00:00+00:00,108802.44,104915.08,25.89,0.0357
ETH/USDT,long,"(1, np.float64(754.0041818288043), np.float64(2340.8580779999998))",2025-06-08 18:00:00+00:00,2340.86,2531.49,60.65,0.0814
BTC/USDT,long,"(1, np.float64(750.5628893762223), np.float64(106321.66007999999))",2025-06-11 18:00:00+00:00,106321.66,108775.24,16.57,0.0231
ETH/USDT,long,"(1, np.float64(822.5420945437436), np.float64(2822.41437))",2025-06-17 18:00:00+00:00,2822.41,2496.75,-95.73,-0.1154
SOL/USDT,short,"(-1, np.float64(831.9291995556828), np.float64(160.407912))",2025-06-23 18:00:00+00:00,160.41,138.14,114.67,0.1388
BTC/USDT,long,"(1, np.float64(738.5969684546493), np.float64(104437.68336))",2025-06-29 18:00:00+00:00,104437.68,107604.57,21.66,0.0303
ETH/USDT,short,"(-1, np.float64(750.961143659548), np.float64(2304.98891))",2025-06-29 18:00:00+00:00,2304.99,2438.39,-44.21,-0.0579
BTC/USDT,short,"(-1, np.float64(757.8767541198511), np.float64(107604.57478000001))",2025-07-02 18:00:00+00:00,107604.57,109566.81,-14.58,-0.0182
SOL/USDT,long,"(1, np.float64(830.7738776814579), np.float64(151.860366))",2025-07-02 18:00:00+00:00,151.86,152.27,1.41,0.0027
ETH/USDT,short,"(-1, np.float64(747.4591098926205), np.float64(2581.653566))",2025-07-05 18:00:00+00:00,2581.65,2493.38,24.81,0.0342
BTC/USDT,long,"(1, np.float64(746.5024781374439), np.float64(109566.80897999999))",2025-07-08 18:00:00+00:00,109566.81,109139.67,-3.66,-0.0039
SOL/USDT,short,"(-1, np.float64(831.7837475357679), np.float64(146.36072199999998))",2025-07-08 18:00:00+00:00,146.36,152.86,-37.77,-0.0444
BTC/USDT,short,"(-1, np.float64(745.6437343140918), np.float64(109139.6677))",2025-07-14 18:00:00+00:00,109139.67,119646.12,-72.53,-0.0963
SOL/USDT,short,"(-1, np.float64(831.6574322982159), np.float64(162.70745200000002))",2025-07-17 18:00:00+00:00,162.71,174.82,-62.77,-0.0745
BTC/USDT,short,"(-1, np.float64(754.6498491103001), np.float64(119577.37974))",2025-07-29 18:00:00+00:00,119577.38,117636.02,11.5,0.0162
SOL/USDT,short,"(-1, np.float64(848.5725550677189), np.float64(181.423708))",2025-08-10 18:00:00+00:00,181.42,182.77,-7.13,-0.0074
ETH/USDT,long,"(1, np.float64(745.5506033969244), np.float64(2625.57501))",2025-08-28 18:00:00+00:00,2625.58,4479.93,525.81,0.7063
BTC/USDT,short,"(-1, np.float64(776.2143681680734), np.float64(118513.89248000001))",2025-09-03 18:00:00+00:00,118513.89,112024.4,41.73,0.0548
ETH/USDT,short,"(-1, np.float64(858.507681395348), np.float64(4468.176186))",2025-09-09 18:00:00+00:00,4468.18,4287.43,33.87,0.0405
BTC/USDT,short,"(-1, np.float64(778.8375401519623), np.float64(111114.7726))",2025-09-15 18:00:00+00:00,111114.77,115336.06,-30.37,-0.038
ETH/USDT,short,"(-1, np.float64(868.3691485488233), np.float64(4500.339752))",2025-09-18 18:00:00+00:00,4500.34,4619.25,-23.81,-0.0264
BTC/USDT,short,"(-1, np.float64(786.2098245466279), np.float64(117796.33602))",2025-09-21 18:00:00+00:00,117796.34,115552.81,14.19,0.019
SOL/USDT,long,"(1, np.float64(868.7019509259612), np.float64(212.082408))",2025-09-24 18:00:00+00:00,212.08,213.85,6.36,0.0083
ETH/USDT,short,"(-1, np.float64(869.2481844909424), np.float64(4496.710478))",2025-09-30 18:00:00+00:00,4496.71,4117.62,72.41,0.0843
SOL/USDT,short,"(-1, np.float64(875.3319550241788), np.float64(207.528486))",2025-10-03 18:00:00+00:00,207.53,233.7,-111.25,-0.1261
ETH/USDT,short,"(-1, np.float64(782.7387934893977), np.float64(4511.54751))",2025-10-06 18:00:00+00:00,4511.55,4712.83,-35.71,-0.0446
BTC/USDT,long,"(1, np.float64(778.567060538243), np.float64(113671.02966))",2025-10-18 18:00:00+00:00,113671.03,106825.93,-47.66,-0.0602
SOL/USDT,short,"(-1, np.float64(868.8923358389934), np.float64(236.762638))",2025-10-18 18:00:00+00:00,236.76,185.89,185.84,0.2149
BTC/USDT,short,"(-1, np.float64(787.473827096727), np.float64(106825.93054))",2025-10-21 18:00:00+00:00,106825.93,112021.0,-39.08,-0.0486
